genero,edad,peso,altura,id_ejercicio,valoracion,bmi,categoria_edad,categoria_bmi,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,tags_combinados,popularidad
male,42,87.4,169.0,1,8.8,30.6011694268408,adulto,obesidad,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,1.0,1,Strength Abdominals Intermediate,6.099695188927519
female,31,75.2,171.9,2,7.6,25.448728426534224,adulto,sobrepeso,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Abdominals,Bands,Intermediate,1.0,1,Strength Abdominals Intermediate,5.267918572255584
male,35,95.8,177.4,3,9.2,30.440955350299767,adulto,obesidad,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,1.0,1,Strength Abdominals Intermediate,6.376954061151496
male,38,81.9,168.9,4,8.4,28.70943215267108,adulto,sobrepeso,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Bands,Intermediate,1.0,1,Strength Abdominals Intermediate,5.8224363167035404
female,34,61.6,158.5,5,8.7,24.520096727004947,adulto,normal,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,1.0,1,Strength Abdominals Intermediate,6.030380470871523
female,33,57.2,155.2,6,8.1,23.747210117972163,adulto,normal,FYR2 Banded Frog Pump,1,Strength,Abdominals,Bands,Intermediate,1.0,1,Strength Abdominals Intermediate,5.614492162535557
male,32,86.8,181.9,7,9.4,26.233384641562207,adulto,sobrepeso,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,1.0,1,Strength Abdominals Intermediate,6.515583497263486
female,47,44.1,156.5,8,8.3,18.005695679245477,adulto,bajo_peso,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,Strength Abdominals Intermediate,5.753121598647547
female,20,79.9,163.5,9,7.6,29.888991760888068,joven,sobrepeso,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,Strength Abdominals Intermediate,5.267918572255584
male,37,83.2,166.6,10,7.6,29.97597598463155,adulto,sobrepeso,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,8.5,Average,Strength Abdominals Intermediate,5.267918572255584
female,38,60.1,164.3,11,10.0,22.263802724185567,adulto,normal,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,Barbell,Beginner,8.3,Average,Strength Abdominals Beginner,6.931471805599453
female,33,71.6,176.2,12,7.8,23.062225491876045,adulto,normal,Barbell Side Bend,1,Strength,Abdominals,Barbell,Beginner,7.0,Average,Strength Abdominals Beginner,5.406548008367573
